Tên địa điểm,Tỉnh / Thành phố,Miền
Hồ Gơm,Hà Nội,Miền Bắc
Văn Miếu - Quốc tử giám,Hà Nội,Miền Bắc
Lăng Bác,Hà Nội,Miền Bắc
Hồ Tây,Hà Nội,Miền Bắc
Cao nguyên đá Đồng Văn,Hà Giang,Miền Bắc
Cột cờ Lũng Cú,Hà Giang,Miền Bắc
Đèo Mã Pí Lèng,Hà Giang,Miền Bắc
Thác Bản Giốc,Cao Bằng,Miền Bắc
Động Ngườm Ngao,Cao Bằng,Miền Bắc
Hồ Thang Hen,Cao Bằng,Miền Bắc
Núi Mẫu Sơn,Lạng Sơn,Miền Bắc
Thành Nhà Mạc,Lạng Sơn,Miền Bắc
Chợ Đông Kinh,Lạng Sơn,Miền Bắc
Vịnh Hạ Long,Quảng Ninh,Miền Bắc
Bãi Cháy,Quảng Ninh,Miền Bắc
Đảo Cô Tô,Quảng Ninh,Miền Bắc
Hồ Ba Bể,Bắc Kạn,Miền Bắc
Động Puông,Bắc Kạn,Miền Bắc
Thác Đầu Đẳng,Bắc Kạn,Miền Bắc
Suối khoáng Mỹ Lâm,Tuyên Quang,Miền Bắc
Na Hang,Tuyên Quang,Miền Bắc
Sa Pa,Lào Cai,Miền Bắc
Bắc Hà,Lào Cai,Miền Bắc
Mù Cang Chải,Yên Bái,Miền Bắc
Suối Giàng,Yên Bái,Miền Bắc
Hồ Thác Bà,Yên Bái,Miền Bắc
Điện Biên Phủ,Điện Biên,Miền Bắc
Hồ Pá Khoang,Điện Biên,Miền Bắc
Pu Ta Leng,Lai Châu,Miền Bắc
Đèo Ô Quy Hồ,Lai Châu,Miền Bắc
Sin Suối Hồ,Lai Châu,Miền Bắc
Mộc Châu,Sơn La,Miền Bắc
Nhà tù Sơn La,Sơn La,Miền Bắc
Thung Nai,Hòa Bình,Miền Bắc
Mai Châu,Hòa Bình,Miền Bắc
Suối khoáng Kim Bôi,Hòa Bình,Miền Bắc
Tây Yên Tử,Bắc Giang,Miền Bắc
Đồng Cao,Bắc Giang,Miền Bắc
Suối Mỡ,Bắc Giang,Miền Bắc
Chùa Dâu,Bắc Ninh,Miền Bắc
